sub_id,group_id,t1_pa,t1_pc,t1_im,t2_pa,t2_pc,t2_im,t3_pa,t3_pc,t3_im
S262,2,6.4,5.2,6,6.4,5.2,6,6.1,5.6,5.71
S263,2,3.8,3.6,4.86,3.8,3.6,4.86,3.2,4,4.57
S264,2,3.9,3.2,4.29,3.9,3.2,4.29,3.1,3,4.57
S265,2,4.7,4,5.29,4.7,4,5.29,4.2,4.6,5.43
S266,2,2.6,1.8,3.43,2.6,1.8,3.43,2.9,2.8,3.86
S267,2,4.5,3.4,3.43,4.5,3.4,3.43,4.9,4.2,4
S268,2,4.2,3.4,4.71,4.2,3.4,4.71,4.2,4.6,5.14
S269,2,5.5,3,5.43,5.5,3,5.43,5.2,4.4,5.57
S270,2,3.3,2.8,3.86,3.3,2.8,3.86,3.4,3.2,4.71
S271,2,5.1,4.2,6.43,5.1,4.2,6.43,4.2,3.8,6.43
S272,2,4.7,3.8,5,4.7,3.8,5,5.2,3.6,4.86
S273,2,4.3,2.2,3.57,4.3,2.2,3.57,3.7,2.4,4.14
S274,2,5,3.8,5,5,3.8,5,4.9,5,6
S275,2,6.3,5.6,6.86,6.3,5.6,6.86,6,6.6,7
S276,2,5.7,5.4,4.43,5.7,5.4,4.43,6.4,6,5.71
S277,2,4.9,4.2,5.43,4.9,4.2,5.43,5,3.6,5.71
S278,2,5.3,4.2,6.14,5.3,4.2,6.14,5.3,5.4,4.86
