index,sub_id,group_id,phase_id,trial,mt,good
176,105,1,2,11,10.534,0
177,105,1,2,12,9.892,0
178,105,1,2,13,11.424,0
179,105,1,2,14,9.606,0
180,105,1,2,15,9.392,0
181,105,1,2,16,10.05,0
182,105,1,2,17,9.611,0
183,105,1,2,18,10.908,0
184,105,1,2,19,9.049,0
185,105,1,2,20,8.758,0
186,105,1,2,21,11.077,0
187,105,1,2,22,17.638,0
188,105,1,2,23,8.849,0
189,105,1,2,24,10.682,0
190,105,1,2,25,10.066,0
191,105,1,2,26,15.172,0
192,105,1,2,27,9.878,0
193,105,1,2,28,10.174,0
194,105,1,2,29,10.952,0
195,105,1,2,30,11.679,0
196,105,1,3,1,12.703,0
197,105,1,3,2,11.573,0
198,105,1,3,3,11.972,0
199,105,1,3,4,9.542,0
200,105,1,3,5,9.959,0
201,106,1,1,1,17.435,0
202,106,1,1,2,12.654,0
203,106,1,1,3,12.467,0
204,106,1,1,4,10.232,0
205,106,1,1,5,11.081,0
206,106,1,2,1,14.907,0
207,106,1,2,2,11.033,0
208,106,1,2,3,9.999,0
209,106,1,2,4,9.851,0
210,106,1,2,5,9.809,0
211,106,1,2,6,8.728,0
212,106,1,2,7,11.171,0
213,106,1,2,8,12,0
214,106,1,2,9,9.58,0
215,106,1,2,10,9.761,0
216,106,1,2,11,10.171,0
217,106,1,2,12,9.558,0
218,106,1,2,13,8.212,0
219,106,1,2,14,8.883,0
220,106,1,2,15,6.634,0
221,106,1,2,16,8.396,0
222,106,1,2,17,9.295,0
223,106,1,2,18,9.714,0
224,106,1,2,19,8.803,0
225,106,1,2,20,8.778,0
226,106,1,2,21,10.404,0
227,106,1,2,22,8.215,0
228,106,1,2,23,8.856,0
229,106,1,2,24,8.662,0
230,106,1,2,25,9.029,0
231,106,1,2,26,7.576,0
232,106,1,2,27,7.189,0
233,106,1,2,28,7.007,0
234,106,1,2,29,10.73,0
235,106,1,2,30,6.803,0
236,106,1,3,1,9.771,0
237,106,1,3,2,8.833,0
238,106,1,3,3,7.901,0
239,106,1,3,4,7.509,0
240,106,1,3,5,10.875,0
241,107,1,1,1,25.767,0
242,107,1,1,2,21.003,0
243,107,1,1,3,22.114,0
244,107,1,1,4,19.427,0
245,107,1,1,5,17.323,0
246,107,1,2,1,15.096,0
247,107,1,2,2,15.862,0
248,107,1,2,3,13.972,0
249,107,1,2,4,15.656,0
250,107,1,2,5,13.855,0
251,107,1,2,6,13.781,0
252,107,1,2,7,18.946,0
253,107,1,2,8,14.421,0
254,107,1,2,9,12.758,0
255,107,1,2,10,11.933,0
256,107,1,2,11,13.041,0
257,107,1,2,12,16.13,0
258,107,1,2,13,12.324,0
259,107,1,2,14,14.037,0
260,107,1,2,15,12.419,0
261,107,1,2,16,9.793,0
262,107,1,2,17,20.113,0
263,107,1,2,18,12.298,0
264,107,1,2,19,13.803,0
265,107,1,2,20,18.872,0
266,107,1,2,21,13.889,0
267,107,1,2,22,10.483,0
268,107,1,2,23,9.921,0
269,107,1,2,24,10.83,0
270,107,1,2,25,12.881,0
271,107,1,2,26,12.85,0
272,107,1,2,27,11.835,0
273,107,1,2,28,11.013,0
274,107,1,2,29,13.138,0
275,107,1,2,30,14.29,0
276,107,1,3,1,13.83,0
277,107,1,3,2,13.75,0
278,107,1,3,3,14.44,0
279,107,1,3,4,11.455,0
280,107,1,3,5,12.551,0
281,108,1,1,1,17.371,0
282,108,1,1,2,14.167,0
283,108,1,1,3,14.022,0
284,108,1,1,4,9.488,0
285,108,1,1,5,10.594,0
286,108,1,2,1,9.745,0
287,108,1,2,2,9.672,0
288,108,1,2,3,11.105,0
289,108,1,2,4,8.41,0
290,108,1,2,5,10.269,0
291,108,1,2,6,8.71,0
292,108,1,2,7,9.845,0
293,108,1,2,8,15.691,0
294,108,1,2,9,8.716,0
295,108,1,2,10,10.562,0
296,108,1,2,11,9.534,0
297,108,1,2,12,8.929,0
298,108,1,2,13,8.843,0
299,108,1,2,14,9.955,0
300,108,1,2,15,10.194,0
301,108,1,2,16,11.718,0
302,108,1,2,17,8.7,0
303,108,1,2,18,7.741,0
304,108,1,2,19,8.489,0
305,108,1,2,20,10.124,0
306,108,1,2,21,10.886,0
307,108,1,2,22,8.261,0
308,108,1,2,23,10.076,0
309,108,1,2,24,11.497,0
310,108,1,2,25,8.538,0
311,108,1,2,26,10.003,0
312,108,1,2,27,7.944,0
313,108,1,2,28,8.668,0
314,108,1,2,29,7.225,0
315,108,1,2,30,7.132,0
316,108,1,3,1,9.882,0
317,108,1,3,2,8.819,0
318,108,1,3,3,7.968,0
319,108,1,3,4,8.22,0
320,108,1,3,5,7.407,0
321,109,1,1,1,13.677,0
322,109,1,1,2,10.649,0
323,109,1,1,3,11.973,0
324,109,1,1,4,10.389,0
325,109,1,1,5,9.733,0
326,109,1,2,1,9.301,0
327,109,1,2,2,10.206,0
328,109,1,2,3,11.11,0
329,109,1,2,4,8.982,0
330,109,1,2,5,8.147,0
331,109,1,2,6,9.177,0
332,109,1,2,7,9.5,0
333,109,1,2,8,9.747,0
334,109,1,2,9,8.917,0
335,109,1,2,10,7.9,0
336,109,1,2,11,10.348,0
337,109,1,2,12,7.982,0
338,109,1,2,13,7.584,0
339,109,1,2,14,8.204,0
340,109,1,2,15,10.849,0
341,109,1,2,16,8.868,0
342,109,1,2,17,9.804,0
343,109,1,2,18,8.881,0
344,109,1,2,19,7.632,0
345,109,1,2,20,10.229,0
346,109,1,2,21,8.894,0
347,109,1,2,22,10.276,0
348,109,1,2,23,8.838,0
349,109,1,2,24,7.903,0
350,109,1,2,25,8.357,0
351,109,1,2,26,10.385,0
352,109,1,2,27,7.683,0
353,109,1,2,28,7.126,0
354,109,1,2,29,8.652,0
355,109,1,2,30,8.43,0
356,109,1,3,1,8.798,0
357,109,1,3,2,8.589,0
358,109,1,3,3,8.254,0
359,109,1,3,4,7.79,0
360,109,1,3,5,7.283,0
361,110,1,1,1,17.717,0
362,110,1,1,2,14.362,0
363,110,1,1,3,11.796,0
364,110,1,1,4,11.313,0
365,110,1,1,5,11.793,0
366,110,1,2,1,13.463,0
367,110,1,2,2,12.034,0
368,110,1,2,3,10.645,0
369,110,1,2,4,9.187,0
370,110,1,2,5,13.381,0
371,110,1,2,6,9.408,0
372,110,1,2,7,7.878,0
373,110,1,2,8,10.126,0
374,110,1,2,9,8.786,0
375,110,1,2,10,9.303,0
376,110,1,2,11,9.63,0
377,110,1,2,12,10.21,0
378,110,1,2,13,7.866,0
379,110,1,2,14,8.927,0
380,110,1,2,15,8.113,0
381,110,1,2,16,11.575,0
382,110,1,2,17,8.959,0
383,110,1,2,18,10.704,0
384,110,1,2,19,13.031,0
385,110,1,2,20,7.848,0
386,110,1,2,21,11.22,0
387,110,1,2,22,9.89,0
388,110,1,2,23,11.222,0
389,110,1,2,24,7.769,0
390,110,1,2,25,8.877,0
391,110,1,2,26,9.994,0
392,110,1,2,27,9.657,0
393,110,1,2,28,10.157,0
394,110,1,2,29,7.094,0
395,110,1,2,30,15.53,0
396,110,1,3,1,8.561,0
397,110,1,3,2,10.028,0
398,110,1,3,3,9.132,0
399,110,1,3,4,8.052,0
400,110,1,3,5,8.367,0
401,111,1,1,1,12.858,0
402,111,1,1,2,,1
403,111,1,1,3,14.38,0
404,111,1,1,4,12.497,0
405,111,1,1,5,12.263,0
406,111,1,2,1,8.818,0
407,111,1,2,2,15.171,0
408,111,1,2,3,10.061,0
409,111,1,2,4,11.411,0
410,111,1,2,5,10.135,0
411,111,1,2,6,9.704,0
412,111,1,2,7,12.381,0
413,111,1,2,8,8.038,0
414,111,1,2,9,8.586,0
415,111,1,2,10,8.118,0
416,111,1,2,11,9.629,0
417,111,1,2,12,8.483,0
418,111,1,2,13,9.565,0
419,111,1,2,14,9.587,0
420,111,1,2,15,10.546,0
421,111,1,2,16,8.645,0
422,111,1,2,17,7.709,0
423,111,1,2,18,8.482,0
424,111,1,2,19,,1
425,111,1,2,20,9.273,0
426,111,1,2,21,,1
427,111,1,2,22,7.953,0
428,111,1,2,23,8.27,0
429,111,1,2,24,8.211,0
430,111,1,2,25,10.149,0
431,111,1,2,26,11.517,0
432,111,1,2,27,9.436,0
433,111,1,2,28,9.891,0
434,111,1,2,29,10.099,0
435,111,1,2,30,10.071,0
436,111,1,3,1,7.705,0
437,111,1,3,2,7.064,0
438,111,1,3,3,9.165,0
439,111,1,3,4,9.486,0
440,111,1,3,5,8.947,0
441,112,1,1,1,,1
442,112,1,1,2,,1
443,112,1,1,3,14.695,0
444,112,1,1,4,11.391,0
445,112,1,1,5,9.733,0
446,112,1,2,1,13.454,0
447,112,1,2,2,12.657,0
448,112,1,2,3,9.801,0
449,112,1,2,4,11.38,0
450,112,1,2,5,9.401,0
451,112,1,2,6,10.592,0
452,112,1,2,7,14.679,0
453,112,1,2,8,12.867,0
454,112,1,2,9,11.892,0
455,112,1,2,10,8.963,0
456,112,1,2,11,10.118,0
457,112,1,2,12,12.737,0
458,112,1,2,13,12.24,0
459,112,1,2,14,14.399,0
460,112,1,2,15,10.332,0
461,112,1,2,16,10.699,0
462,112,1,2,17,9.019,0
463,112,1,2,18,11.028,0
464,112,1,2,19,10.587,0
465,112,1,2,20,7.893,0
466,112,1,2,21,8.329,0
467,112,1,2,22,11.293,0
468,112,1,2,23,8.07,0
469,112,1,2,24,10.482,0
470,112,1,2,25,11.444,0
471,112,1,2,26,9.073,0
472,112,1,2,27,8.621,0
473,112,1,2,28,9.814,0
474,112,1,2,29,9.192,0
475,112,1,2,30,9.355,0
476,112,1,3,1,7.854,0
477,112,1,3,2,7.511,0
478,112,1,3,3,9.145,0
479,112,1,3,4,7.472,0
480,112,1,3,5,7.958,0
481,113,1,1,1,16.626,0
482,113,1,1,2,14.768,0
483,113,1,1,3,12.205,0
484,113,1,1,4,11.073,0
485,113,1,1,5,11.291,0
486,113,1,2,1,11.111,0
487,113,1,2,2,12.255,0
488,113,1,2,3,10.257,0
489,113,1,2,4,13.316,0
490,113,1,2,5,11.343,0
491,113,1,2,6,11.538,0
492,113,1,2,7,12.873,0
493,113,1,2,8,10.455,0
494,113,1,2,9,13.631,0
495,113,1,2,10,11.747,0
496,113,1,2,11,9.147,0
497,113,1,2,12,9.391,0
498,113,1,2,13,10.066,0
499,113,1,2,14,8.077,0
500,113,1,2,15,9.372,0
501,113,1,2,16,9.313,0
502,113,1,2,17,9.449,0
503,113,1,2,18,11.852,0
504,113,1,2,19,10.538,0
505,113,1,2,20,13.688,0
506,113,1,2,21,8.52,0
507,113,1,2,22,8.017,0
508,113,1,2,23,7.941,0
509,113,1,2,24,9.249,0
510,113,1,2,25,7.744,0
511,113,1,2,26,7.913,0
512,113,1,2,27,12.389,0
513,113,1,2,28,8.292,0
514,113,1,2,29,10.398,0
515,113,1,2,30,10.086,0
516,113,1,3,1,13.398,0
517,113,1,3,2,9.539,0
518,113,1,3,3,8.544,0
519,113,1,3,4,8.818,0
520,113,1,3,5,9.946,0
521,114,1,1,1,21.274,0
522,114,1,1,2,18.481,0
523,114,1,1,3,16.284,0
524,114,1,1,4,16.706,0
525,114,1,1,5,16.509,0
526,114,1,2,1,14.914,0
527,114,1,2,2,14.696,0
528,114,1,2,3,14.164,0
529,114,1,2,4,14.023,0
530,114,1,2,5,13.238,0
531,114,1,2,6,15.846,0
532,114,1,2,7,13.036,0
533,114,1,2,8,12.257,0
534,114,1,2,9,13.695,0
535,114,1,2,10,12.794,0
536,114,1,2,11,11.18,0
537,114,1,2,12,12.162,0
538,114,1,2,13,11.586,0
539,114,1,2,14,10.658,0
540,114,1,2,15,11.571,0
541,114,1,2,16,10.857,0
542,114,1,2,17,11.672,0
543,114,1,2,18,10.586,0
544,114,1,2,19,10.937,0
545,114,1,2,20,10.858,0
546,114,1,2,21,11.649,0
547,114,1,2,22,11.151,0
548,114,1,2,23,10.892,0
